Date,Open,High,Low,Close,AdjClose,Volume
2024-12-16,533.0800,539.1500,533.0000,538.1700,533.3329,31979900
2024-12-17,536.3600,537.4800,534.1300,535.8000,530.9843,28579100
2024-12-18,535.1500,536.8800,515.0100,516.4700,511.8280,54703200
2024-12-19,521.1900,521.7600,513.8300,514.1700,509.5487,46441800
2024-12-20,510.4400,524.8200,509.2900,518.6600,513.9984,60530000
2024-12-23,519.5500,523.2500,516.1300,522.8700,519.0061,29672800
2024-12-24,524.8300,530.0500,524.1900,529.9600,526.0438,17558200
2024-12-26,528.3200,531.2400,526.3100,529.6000,525.6863,19090500
2024-12-27,526.0100,526.4500,517.8600,522.5600,518.6984,33839600
2024-12-30,515.5100,519.3600,511.8300,515.6100,511.7997,34584000
2024-12-31,516.9000,517.6600,510.2600,511.2300,507.4521,29117000
2025-01-02,514.3000,516.6400,505.7100,510.2300,506.4595,36389800
2025-01-03,513.3500,519.6500,512.5300,518.5800,514.7478,29059500
2025-01-06,524.0200,527.9200,522.0300,524.5400,520.6637,36109700
2025-01-07,525.5900,525.9900,513.2800,515.1800,511.3728,36690300
2025-01-08,515.0800,516.9200,510.5700,515.2700,511.4622,30777800
2025-01-10,511.4800,511.5800,503.9200,507.1900,503.4420,40532500
2025-01-13,501.2000,506.0200,499.7000,505.5600,501.8240,31694200
2025-01-14,508.7400,510.1600,501.5900,505.0800,501.3475,33737200
2025-01-15,513.0300,517.8500,511.4600,516.7000,512.8817,34957600
2025-01-16,518.9800,519.0600,512.9500,513.0800,509.2885,28229000
2025-01-17,522.8500,524.0700,513.1100,521.7400,517.8844,51837900
2025-01-21,524.4800,525.9700,520.0600,524.8000,520.9218,23628000
2025-01-22,529.5700,533.8200,529.2600,531.5100,527.5822,33593000
2025-01-23,529.0400,532.7600,528.4500,532.6400,528.7039,23096600
2025-01-24,533.0200,533.7900,528.1500,529.6300,525.7161,19878300
2025-01-27,511.0000,517.9900,510.1500,514.2100,510.4101,60771700
2025-01-28,515.2200,523.0000,511.7800,521.8100,517.9539,33194200
2025-01-29,522.4600,522.5900,516.9000,520.8300,516.9812,26649000
2025-01-30,523.7100,526.1000,518.2100,523.0500,519.1847,27431300
2025-01-31,526.9200,531.5200,521.1900,522.2900,518.4304,38755200
2025-02-03,513.4700,520.8500,511.0500,518.1100,514.2813,40580800
2025-02-04,518.6300,525.1100,518.2300,524.4700,520.5942,26046800
2025-02-05,521.8200,527.0100,520.6200,526.8500,522.9567,21134100
2025-02-06,527.3600,529.8100,525.7400,529.6000,525.6863,19434500
2025-02-07,530.1400,532.1000,522.1900,522.9200,519.0557,29605500
2025-02-10,527.2200,530.3600,526.7500,529.2500,525.3389,20852800
2025-02-11,525.9600,529.9200,525.8300,527.9900,524.0883,19325500
2025-02-12,522.3000,529.1900,521.9500,528.3000,524.3959,25009400
2025-02-13,529.9800,536.2200,529.1900,535.9000,531.9398,28714800
